0,72.242,57.185,10.2
1,181.839,17.677,6.8
2,22.999,74.875,3.4
3,131.297,82.426,6.8
4,182.151,98.951,34
5,57.209,125.38,20.4
6,96.879,122.126,6.8
7,128.639,157.983,10.2
8,269.581,52.551,10.2
9,256.418,94.789,6.8
10,303.776,85.049,3.4
11,288.709,115.436,13.6
12,337.559,38.237,6.8
13,389.885,93.169,13.6
14,405.812,38.197,3.4
15,464.322,26.325,6.8
16,492.743,29.957,10.2
17,436.045,110.143,6.8
18,526.668,70.646,6.8
19,549.02,130.334,10.2
20,587.071,83.131,17
21,666.135,42.592,6.8
22,663.671,108.655,6.8
23,25.271,146.717,6.8
24,179.223,179.916,6.8
25,242.352,152.179,6.8
26,292.495,182.911,6.8
27,324.727,141.623,6.8
28,323.068,174.687,10.2
29,459.026,165.775,10.2
30,516.923,177.415,3.4
31,673.694,168.552,3.4
32,38.116,260.425,10.2
33,82.394,218.937,6.8
34,140.685,214.234,23.8
35,184.854,259.603,6.8
36,206.309,204.512,17
37,272.492,262.68,27.2
38,317.828,242.451,6.8
39,390.206,202.531,6.8
40,414.378,245.68,6.8
41,463.866,227.338,34
42,501.232,267.212,6.8
43,558.048,204.408,6.8
44,620.103,215.018,13.6
45,28.502,367.407,6.8
46,75.346,311.444,20.4
47,123.998,290.027,13.6
48,170.888,306.565,3.4
49,224.521,281.803,10.2
50,67.821,368.308,3.4
51,105.495,348.383,6.8
52,126.078,368.105,13.6
53,161.779,378.064,10.2
54,199.942,335.11,6.8
55,256.641,313.331,6.8
56,292.345,314.303,10.2
57,225.047,378.592,3.4
58,251.56,369.462,6.8
59,351.935,296.441,13.6
60,409.849,324.69,6.8
61,481.983,317.823,20.4
62,521.252,339.51,6.8
63,539.378,367.718,10.2
64,586.067,289.45,6.8
65,635.518,336.794,10.2
66,666.927,314.735,6.8
67,62.364,417.813,17
68,65.747,457.659,6.8
69,136.997,443.03,6.8
70,217.144,411.957,6.8
71,263.805,396.274,17
72,206.278,464.831,27.2
73,340.361,391.672,6.8
74,385.266,411.061,23.8
75,419.821,425.097,6.8
76,479.395,400.486,6.8
77,325.52,484.3,6.8
78,348.594,467.486,10.2
79,406.245,475.57,6.8
80,508.586,402.887,3.4
81,478.681,471.15,6.8
82,514.554,444.811,30.6
83,589.803,452.073,6.8
84,626.348,480.067,10.2
85,658.967,400.008,10.2
86,27.936,550.885,10.2
87,92.573,526.949,6.8
88,100.46,496.76,6.8
89,129.361,521.87,3.4
90,160.577,509.289,10.2
91,191.315,548.595,6.8
92,228.605,505.263,6.8
93,286.071,520.707,13.6
94,334.069,562.275,17
95,408.576,539.5,10.2
96,466.079,561.515,3.4
97,525.007,555.418,6.8
98,561.378,544.521,6.8
99,543.278,589.187,10.2
100,629.727,579.282,3.4
101,671.947,553.398,6.8
102,28.854,594.683,6.8
103,75.711,611.867,34
104,99.558,675.652,6.8
105,146.214,606.507,13.6
106,172.994,620.272,6.8
107,208.327,590.545,10.2
108,220.627,641.274,6.8
109,253.203,587.944,3.4
110,262.776,566.473,6.8
111,271.372,660.451,10.2
112,380.47,571.633,6.8
113,361.497,633.706,6.8
114,442.576,626.374,20.4
115,478.648,646.874,6.8
116,534.088,667.978,3.4
117,584.3,652.139,6.8
118,644.792,640.269,13.6
